insee;nom;altitude;code_postal;longitude;latitude;pop99;surface;departement;region;indicatif
65196;Gensac;197;65140;0.0014786778031515;0.75802073423337;68;3.51;65;MP;5
65197;Ger;400;65100;-0.00072237431836133;0.7514417942345;128;1.93;65;MP;5
65198;Gerde;580;65200;0.0029767636528212;0.75145151477248;1116;6.98;65;MP;5
65199;Germ;1339;65510|65240;0.0074564307721123;0.74688938666713;25;12.44;65;MP;5
65200;Germs-sur-l'Oussouet;880;65200;0.0010181028829923;0.75135450912978;118;13.35;65;MP;5
65201;Geu;429;65100;-0.0008872032489098;0.75118972603732;145;2.56;65;MP;5
65202;Gez;620;65400;-0.0019441048649775;0.75070975782986;233;3.94;65;MP;5
65203;Gez-ez-Angles;549;65100;0.00043148030787087;0.75206237734752;22;2.44;65;MP;5
65204;Gonez;290;65350;0.0037621618474276;0.75455915744849;31;1.14;65;MP;5
65205;Gouaux;940;65440|65240;0.0063268187465389;0.74813541316214;58;6.05;65;MP;5
65206;Goudon;254;65190;0.0040675944353176;0.7547433816169;217;7.58;65;MP;5
65207;Gourgue;340;65130;0.0046348266814842;0.75286718462894;44;1.55;65;MP;5
65208;Grailhen;1100;65170;0.0063316706931499;0.74782508831612;12;5.85;65;MP;5
65209;Grézian;760;65440|65240;0.0061862147641044;0.74824207276379;78;1.97;65;MP;5
65210;Grust;975;65120;-0.00055269344120187;0.74855233103079;40;10.00;65;MP;5
65211;Guchan;800;65170;0.0061038003313394;0.74785418335103;124;2.64;65;MP;5
65212;Guchen;770;65440|65240;0.0058807824362886;0.74813055289314;368;5.79;65;MP;5
65213;Guizerix;300;65230;0.0078345908043765;0.75614933093538;133;7.24;65;MP;5
65214;Hachan;285;65230;0.0079654908935892;0.75547062433158;38;1.87;65;MP;5
65215;Hagedet;260;65700;-0.00056237997446263;0.75952368919457;40;2.16;65;MP;5
65216;Hauban;620;65200;0.0028749411735381;0.75210598661037;97;2.18;65;MP;5
65217;Hautaget;575;65150;0.0080042721366661;0.75148547007637;31;1.36;65;MP;5
65218;Hèches;620;65250;0.0064819608837522;0.75078732239662;580;35.61;65;MP;5
65219;Hères;146;65700;-7.2727866994885E-005;0.76014906599755;124;6.00;65;MP;5
65220;Hibarette;340;65380;0.0006205692640579;0.75337138760231;187;1.50;65;MP;5
65221;Hiis;421;65200;0.0018325956573776;0.75288655912587;210;3.06;65;MP;5
65222;Hitte;500;65190;0.0028652547052958;0.7530901577912;125;2.96;65;MP;5
65223;Horgues;356;65310;0.0015417017444151;0.75378344520198;975;4.50;65;MP;5
65224;Houeydets;540;65330;0.0061619898810091;0.7533131975325;183;7.45;65;MP;5
65225;Hourc;370;65350;0.0030688648139028;0.75485976175653;104;2.02;65;MP;5
65226;Ibos;320;65420;2.9094638702136E-005;0.75455915744849;2778;33.16;65;MP;5
65228;Ilhet;660;65410;0.0066952748855811;0.74990495054845;120;8.02;65;MP;5
65229;Ilheu;614;65370;0.01040895159671;0.75044796909471;39;2.05;65;MP;5
65230;Izaourt;460;65370;0.010496217976086;0.75077274158965;232;2.45;65;MP;5
65231;Izaux;580;65250;0.0066661803708207;0.75159212967804;185;5.37;65;MP;5
65232;Jacque;282;65350;0.0037669963690589;0.75604753160271;54;1.88;65;MP;5
